Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,,,,,,,,,,,,,,
Bitters,Cherry Bark Vanilla Bitters,Bittercube,0,Amazon,Bar,,0,No,,,,,,,,,,,,,,
Bitters,Mole Bitters,Bittermans,5,Breakthru,Back Bar,Tue,3,No,,,,,,,,,,,,,,
Bitters,Angostura,16oz,4,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,
Bitters,Orange Bitters,Reagan's,0,,,,0,No,,,,,,,,,,,,,,
Garnish,Olives,,1.5,Chef's Warehouse,Kitchen,"Mon, Thur",2,Yes,,,,,,,,,,,,,,
Garnish,Lemon,,0.5,Chef's Warehouse,Walk-in,"Mon, Thur",1,Yes,,,,,,,,,,,,,,
Garnish,Strawberries,,0,Chef's Warehouse,Walk-in,"Mon, Thur",4,Yes,,,,,,,,,,,,,,
Garnish,Apples,,0.75,Chef's Warehouse,Walk-in,"Mon, Thur",0.5,No,,,,,,,,,,,,,,
Garnish,Lime,,0.75,Chef's Warehouse,Walk-in,"Mon, Thur",1,Yes,,,,,,,,,,,,,,
Garnish,Orange,,0.5,Chef's Warehouse,Walk-in,"Mon, Thur",1,Yes,,,,,,,,,,,,,,686
Garnish,Rosemary,,0.5,Chef's Warehouse,Walk-in,"Mon, Thur",2,Yes,,,,,,,,,,,,,,
Garnish,Pineapple,,5,Chef's Warehouse,Walk-in,"Mon, Thur",3,No,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,1,Southern,Dry Storage,Mon,0.25,No,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,2,Southern,Dry Storage,Mon,0.25,No,,,,,,,,,,,,,,
Ice,Double Rocks,Fat Ice,110,Fat Ice,Freezer,"Tue, Wed, Thur, Fri",300,Yes,,,,,,,,,,,,,,
Juice,Peach Juice,Finest Call,5,Breakthru,Dry Storage,Wed,6,Yes,,,,,,,,,,,,,,
Juice,Cranberry Juice,Ocean Spray,11,Chef's Warehouse,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,
Juice,Grapefruit Juice,Ocean Spray,10,Chef's Warehouse,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,
Juice,Pineapple Juice,Dole,10,Chef's Warehouse,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,
Juice,Orange Juice,,0,Chef's Warehouse,Walk-in,"Mon, Thur",4,Yes,,,,,,,,,,,,,,
Juice,Lime Juice,,14,Chef's Warehouse,Walk-in,"Mon, Thur",6,No,,,,,,,,,,,,,,
Juice,Lemon Juice,,15,Chef's Warehouse,Walk-in,"Mon, Thur",6,No,,,,,,,,,,,,,,
Juice,Olive Juice,Filthy,0,Southern,Dry Storage,Mon,0,No,,,,,,,,,,,,,,
Keg,Miller Lite,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg,Summer Shandy,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg,Truly,,2,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg,Modelo,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg,Blue Moon,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg,Krombacher,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg,Guiness,,2,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg ,Lagunitas IPA,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Mixers,Grenadine,Rose's,18,Breakthru,Dry Storage,Tue,4,No,,,,,,,,,,,,,,
Mixers,Red Bull,,12,Breakthru,Dry Storage,Wed,12,No,,,,,,,,,,,,,,
Mixers,Sugar Free Red Bull,,12,Breakthru,Dry Storage,Wed,12,No,,,,,,,,,,,,,,
Mixers,Bloody Mary,ZingZang,12,Chef's Warehouse,Dry Storage,Tue,12,No,,,,,,,,,,,,,,
Mixers,Tonic Water,,0.5,Chef's Warehouse,Bar,"Mon, Thur",1,Yes,,,,,,,,,,,,,,
Mixers,Coke,,3,Chef's Warehouse,Bar,"Mon, Thur",4,Yes,,,,,,,,,,,,,,
Mixers,Diet Coke,,1,Chef's Warehouse,Bar,"Mon, Thur",3,Yes,,,,,,,,,,,,,,
Mixers,Sprite,,2,Chef's Warehouse,Bar,"Mon, Thur",3,Yes,,,,,,,,,,,,,,
Mixers,Soda Water,,4,Chef's Warehouse,Bar,"Mon, Thur",3,No,,,,,,,,,,,,,,
Mixers,Ginger Ale,,1,Chef's Warehouse,Bar,"Mon, Thur",1,No,,,,,,,,,,,,,,
Mixers,Ginger Beer,Gosling's,0,Southern,Dry Storage,Mon,1,Yes,,,,,,,,,,,,,,
Mixers,Agave Nectar,Tres Agave 750ml,15,Southern,Bar,Mon,3,No,,,,,,,,,,,,,,
Mixers,Green River,,,,,,,No,,,,,,,,,,,,,,
Paper Goods,Bamboo Knot Picks,"4""",4,Chef's Warehouse,Dry Storage,"Mon, Thur",3,No,,,,,,,,,,,,,,
Paper Goods,Cocktail Stirrers,,4,Chef's Warehouse,Dry Storage,"Mon, Thur",3,No,,,,,,,,,,,,,,
Paper Goods,Straws,"7.75""",3,Chef's Warehouse,Dry Storage,"Mon, Thur",3,No,,,,,,,,,,,,,,
Paper Goods,Beverage Napkins,,6,Chef's Warehouse,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,
Prep,Coco Lopez,15oz,5,Breakthru,Dry Storage,Wed,6,Yes,,,,,,,,,,,,,,
Prep,Turbinado Sugar,Sugar In The Raw,4,Chef's Warehouse,Dry Storage,Tue,4,No,,,,,,,,,,,,,,
Red Wine,Real Sangria,,53,Southern,Walk-In,Mon,,No,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Banshee,13,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Davis Bynum,12,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Red Wine,Red Blend,Harvey & Harriet,14,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Red Wine,Red Blend,Prisoner,19,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Red Wine,Cabernet,Seaglass,9,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Red Wine,Cabernet,Charles Krug,8,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Red Wine,Cabernet,Caymus,15,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Red Wine,Red Blend,Palisades,1,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Spirits,Blanco,Casamigos,3.2,Breakthru,Bar,Tue,2,No,,,,,,,,,,,,,,
Spirits,Reposado,Casamigos,3.1,Breakthru,Bar,Tue,2,No,,,,,,,,,,,,,,
Spirits,Tanqueray,,0.3,Breakthru,Bar,Tue,1,Yes,,,,,,,,,,,,,,
Spirits,Jack Daniels,,3.9,Breakthru,Bar,Tue,2,No,,,,,,,,,,,,,,
Spirits,Fernet Branca,,1,Breakthru,Bar,Tue,1,No,,,,,,,,,,,,,,
Spirits,Tullermore Dew,,0.7,Breakthru,Bar,Tue,0.5,No,,,,,,,,,,,,,,
Spirits,Woodford Reserve,,0.1,Breakthru,Bar,Tue,0.5,Yes,,,,,,,,,,,,,,
Spirits,Disaronno,,0.5,Breakthru,Bar,Tue,0,No,,,,,,,,,,,,,,
Spirits,Reposado,Don Julio,1.1,Breakthru,Bar,Tue,1,No,,,,,,,,,,,,,,
Spirits,Blanco,Don Julio,2.1,Breakthru,Bar,Tue,1,No,,,,,,,,,,,,,,
Spirits,1942,Don Julio,1.1,Breakthru,Bar,Tue,0.5,No,,,,,,,,,,,,,,
Spirits,Crown Royal,,0.5,Breakthru,Bar,Tue,0.5,No,,,,,,,,,,,,,,
Spirits,Black Label,Johnnie Walker,1.1,Breakthru,Bar,Tue,0.5,No,,,,,,,,,,,,,,
Spirits,14 Caribbean Cask,The Balvenie,0.5,Breakthru,Bar,Tue,0.5,No,,,,,,,,,,,,,,
Spirits,Hendrick's,,1.4,Breakthru,Bar,Tue,2,Yes,,,,,,,,,,,,,,
Spirits,Kaiyo,,5,Breakthru,Bar,Tue,0.5,No,,,,,,,,,,,,,,
Spirits,Triple Sec,Mr. Boston,1.6,Breakthru,Bar,Wed,3,Yes,,,,,,,,,,,,,,
Spirits,Spiced,Captain Morgan,1.9,Breakthru,Bar,Tue,0.5,No,,,,,,,,,,,,,,
Spirits,Tito's,,4.3,Breakthru,Bar,Wed,6,Yes,,,,,,,,,,,,,,
Spirits,Ketel One,,2.1,Breakthru,Bar,Wed,2,No,,,,,,,,,,,,,,
Spirits,Meyer's Rum,,0,Breakthru,Bar,Tue,0.5,Yes,,,,,,,,,,,,,,
Spirits,Bailey's,,0.5,Breakthru,Bar,Tue,0,No,,,,,,,,,,,,,,
Spirits,Chambord,,0.9,Breakthru,Bar,Tue,0.2,No,,,,,,,,,,,,,,
Spirits,Rumple Minze,,0.3,Breakthru,Bar,Tue,0.5,Yes,,,,,,,,,,,,,,
Spirits,Real De Valle,,,Maverick,Bar,,0,No,,,,,,,,,,,,,,
Spirits,Cranberry Gin,Koval,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,
Spirits,Barrel Gin,Koval,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,
Spirits,Coffee Liqueur,Koval,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,
Spirits,Broker's Gin,,,RNDC,Bar,Thur,3,Yes,,,,,,,,,,,,,,
Spirits,Flor De Cana,,,RNDC,Bar,Thur,12,Yes,,,,,,,,,,,,,,
Spirits,Bourbon,Four Roses,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,
Spirits,Single Barrel Select,Four Roses,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,
Spirits,Small Batch,Four Roses,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,
Spirits,Single Barrel,Four Roses,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,
Spirits,Lalo Tequila,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,
Spirits,Macallan 12,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,
Spirits,Macallan 18,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,
Spirits,Brugal 1888,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,
Spirits,Sapphire,Bombay,3,Southern,Bar,Mon,1,No,,,,,,,,,,,,,,
Spirits,Anejo,Lunazul,6.8,Southern,Bar,Mon,6,No,,,,,,,,,,,,,,
Spirits,Maker's Mark,,1.4,Southern,Bar,Mon,1,No,,,,,,,,,,,,,,
Spirits,Elijah Craig,,1.2,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,
Spirits,Bourbon,Angel's Envy,1,Southern,Bar,Mon,1,No,,,,,,,,,,,,,,
Spirits,Rye,Angel's Envy,1.1,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,
Spirits,Rittenhouse,,2,Southern,Bar,Mon,2,No,,,,,,,,,,,,,,
Spirits,Aperol,,4.8,Southern,Bar,Mon,6,Yes,,,,,,,,,,,,,,
Spirits,Grand Marnier,,0.5,Southern,Bar,Mon,0,No,,,,,,,,,,,,,,
Spirits,Luxardo Maraschino Liqueur,,6.5,Southern,Bar,Mon,4,No,,,,,,,,,,,,,,
Spirits,Fontbonne,,2.1,Southern,Bar,Mon,3,Yes,,,,,,,,,,,,,,
Spirits,400 Conejos,,1.8,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,
Spirits,Dry Vermouth,Foro,,Southern,Bar,Mon,2,Yes,,,,,,,,,,,,,,
Spirits,Monkey 47,,0.4,Southern,Bar,Mon,0.5,Yes,,,,,,,,,,,,,,
Spirits,Rouge,Lillet,1,Southern,Bar,Mon,0,No,,,,,,,,,,,,,,
Spirits,Basil Hayden,,1.1,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,
Spirits,Jameson,,2.1,Southern,Bar,Mon,1,No,,,,,,,,,,,,,,
Spirits,12,The Glenlivet,0.7,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,
Spirits,Blanc,Lillet,0.7,Southern,Bar,Mon,0,No,,,,,,,,,,,,,,
Spirits,Nonino,,0.8,Southern,Bar,Mon,0,No,,,,,,,,,,,,,,
Spirits,Espresso Liqueur,Luxardo,10.8,Southern,Bar,Mon,12,Yes,,,,,,,,,,,,,,
Spirits,Evan Williams,,3.4,Southern,Bar,Mon,6,Yes,,,,,,,,,,,,,,
Spirits,Bacardi Superior,,2.5,Southern,Bar,Mon,6,Yes,,,,,,,,,,,,,,
Spirits,Licor 43,,5.1,Southern,Bar,Mon,6,Yes,,,,,,,,,,,,,,
Spirits,Beefeater,,10.5,Southern,Bar,"Mon, Thur",6,No,,,,,,,,,,,,,,
Spirits,Absolut,,6.6,Southern,Bar,Mon,12,Yes,,,,,,,,,,,,,,
Spirits,Grey Goose,,0.7,Southern,Bar,Mon,3,Yes,,,,,,,,,,,,,,
Spirits,Vida,Del Maguey,4.9,Southern,Bar,Mon,4,No,,,,,,,,,,,,,,
Spirits,Yellow,Chartruese,,,Bar,,,No,,,,,,,,,,,,,,
Spirits,Clase Azul,,,,Bar,,,No,,,,,,,,,,,,,,
Spirits,Burrito Mezcal,,,,Bar,,,No,,,,,,,,,,,,,,
Water,Acqua Panna,1L,0,Breakthru,Water Cooler,Wed,6,Yes,,,,,,,,,,,,,,
Water,San Pelegrino,250ml,0,Breakthru,Water Cooler,Tue,0,No,,,,,,,,,,,,,,
Water ,San Pelegrino,1L,0,Breakthru,Water Cooler,Tue,6,Yes,,,,,,,,,,,,,,
