Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,Unit Price,Case Price,Price per Ounce,,,,,,,,,,,,,,,,o
Bitters,Cherry Bark Vanilla Bitters,Bittercube,0,Amazon,Bar,,0,No,,,,,,,,,,,,,,,,,,,
Bitters,Angostura,16oz,1,Southern,Bar,Mon,0.5,No,$25.32,,$1.58,,,,,,,,,,,,,,,,
Bitters,Orange Bitters 4oz,Angostura,11,Southern,Bar,"Tues, Thur",0.1,No,$11.57,,$2.89,,,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,6,Southern,Dry Storage,Mon,1,No,$33.33,$200.00,,,,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,,Southern,Dry Storage,Mon,4,Yes,$86.25,$345.00,,,,,,,,,,,,,,,,,
Juice,Olive Juice,Filthy,,Southern,Dry Storage,Mon,0,No,$40.00,$240.00,,,,,,,,,,,,,,,,,
Mixers,Ginger Beer,Gosling's,2,Southern,Dry Storage,Mon,2,No,$6.69,$26.75,$0.09,,,,,,,,,,,,,,,,
Mixers,Agave Nectar,Tres Agave 1L,6,Southern,Bar,Mon,3,No,$12.00,$144.00,$0.35,,,,,,,,,,,,,,,,
Red Wine,Real Sangria,,34,Southern,Walk-In,Mon,24,No,$6.75,$81.00,$0.27,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Seaglass,6,Southern,Wine Wall,Mon,8,Yes,$10.00,$120.00,$0.39,,,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Banshee,7,Southern,Wine Wall,Mon,6,No,$14.00,$84.00,$0.55,,,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Davis Bynum,4,Southern,Wine Wall,Mon,4,No,$16.00,$96.00,$0.63,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Caymus,10,Southern,Wine Wall,Mon,6,No,$25.00,$300.00,$0.99,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Harvey & Harriet,11,Southern,Wine Wall,Mon,4,No,,,,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Prisoner,19,Southern,Wine Wall,Mon,6,No,$25.00,$300.00,$0.99,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Charles Krug,13,Southern,Wine Wall,Mon,4,No,,,,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Palisades,,Southern,Wine Wall,Mon,0,No,,,,,,,,,,,,,,,,,,,
Spirits,Sweet Vermouth,Tribuno,8,Southern,Bar,Mon,6,No,$12.79,,$0.38,,,,,,,,,,,,,,,,
Spirits,Jose Cuervo,,5,Southern,Bar,Mon,4,No,$13.50,$162.00,$0.40,,,,,,,,,,,,,,,,
Spirits,Bacardi Superior,,14,Southern,Bar,Mon,2,No,$19.33,$232.00,$0.57,,,,,,,,,,,,,,,,
Spirits,Evan Williams,,8,Southern,Bar,Mon,6,No,$19.51,,$0.58,,,,,,,,,,,,,,,,
Spirits,Espresso Liqueur,Luxardo,10,Southern,Bar,Mon,12,Yes,$16.50,$198.00,$0.65,,,,,,,,,,,,,,,,
Spirits,Absolut,,5,Southern,Bar,Mon,12,Yes,$23.50,$141.00,$0.69,,,,,,,,,,,,,,,,
Spirits,Blanco,Lunazul,6,Southern,Bar,Mon,6,No,$26.29,,$0.78,,,,,,,,,,,,,,,,
Spirits,Reposado,Lunazul,7,Southern,Bar,Mon,4,No,$26.29,,$0.78,,,,,,,,,,,,,,,,
Spirits,Blanc,Lillet,1,Southern,Bar,Mon,0.1,No,$20.59,,$0.81,,,,,,,,,,,,,,,,
Spirits,Licor 43,,4,Southern,Bar,Mon,6,Yes,$28.75,$345.02,$0.85,,,,,,,,,,,,,,,,
Spirits,Beefeater,,3,Southern,Bar,"Mon, Thur",4,Yes,$30.29,,$0.90,,,,,,,,,,,,,,,,
Spirits,Rittenhouse,,0,Southern,Bar,Mon,1,Yes,$24.62,,$0.97,,,,,,,,,,,,,,,,
Spirits,Sapphire,Bombay,0.9,Southern,Bar,Mon,1,Yes,$35.09,,$1.04,,,,,,,,,,,,,,,,
Spirits,Campari,,1.2,Southern,Bar,Mon,1,No,$38.04,,$1.12,,,,,,,,,,,,,,,,
Spirits,Elijah Craig,,1.2,Southern,Bar,Mon,0.5,No,$39.28,,$1.16,,,,,,,,,,,,,,,,
Spirits,Anejo,Lunazul,6,Southern,Bar,Mon,6,No,$29.71,,$1.17,,,,,,,,,,,,,,,,
Spirits,Maker's Mark,,2.3,Southern,Bar,Mon,1,No,$40.12,,$1.19,,,,,,,,,,,,,,,,
Spirits,Jameson,,0.9,Southern,Bar,Mon,1,Yes,$40.54,,$1.20,,,,,,,,,,,,,,,,
Spirits,Aperol,,4.6,Southern,Bar,Mon,6,Yes,$42.04,,$1.24,,,,,,,,,,,,,,,,
Spirits,Grey Goose,,2.5,Southern,Bar,Mon,3,Yes,$43.87,,$1.30,,,,,,,,,,,,,,,,
Spirits,St. Germain,,6,Southern,Bar,Mon,9,Yes,$33.00,$198.00,$1.30,,,,,,,,,,,,,,,,
Spirits,Luxardo Maraschino Liqueur,,5,Southern,Bar,Mon,9,Yes,$36.04,,$1.42,,,,,,,,,,,,,,,,
Spirits,Basil Hayden,,3.6,Southern,Bar,Mon,0.5,No,$50.00,,$1.48,,,,,,,,,,,,,,,,
Spirits,Vida,Del Maguey,,Southern,Bar,Mon,0,No,$39.00,$234.00,$1.54,,,,,,,,,,,,,,,,
Spirits,Barrel Finished Gin,Rabbit Hole,3,Southern,Bar,Mon,4,Yes,$42.79,,$1.69,,,,,,,,,,,,,,,,
Spirits,Bourbon,Angel's Envy,0.1,Southern,Bar,Mon,1,Yes,$43.29,,$1.71,,,,,,,,,,,,,,,,
Spirits,Fontbonne,,3,Southern,Bar,Mon,4,Yes,$46.15,,$1.82,,,,,,,,,,,,,,,,
Spirits,Nonino,,0.3,Southern,Bar,Mon,0.1,No,$49.46,,$1.95,,,,,,,,,,,,,,,,
Spirits,Monkey 47,,0.5,Southern,Bar,Mon,0.5,No,$73.54,,$2.17,,,,,,,,,,,,,,,,
Spirits,Rye,Angel's Envy,1.8,Southern,Bar,Mon,0.5,No,$76.71,,$2.27,,,,,,,,,,,,,,,,
Spirits,Grand Marnier,,0.1,Southern,Bar,Mon,0.1,No,,,,,,,,,,,,,,,,,,,
Spirits,400 Conejos,,7,Southern,Bar,Mon,8,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Dry Vermouth,Foro,2,Southern,Bar,Mon,2,No,$9.13,,$0.27,,,,,,,,,,,,,,,,
Spirits,Rouge,Lillet,0.9,Southern,Bar,Mon,0,No,,,,,,,,,,,,,,,,,,,
Spirits,12,The Glenlivet,0.1,Southern,Bar,Mon,0.1,No,,,,,,,,,,,,,,,,,,,
Spirits,Yellow,Chartruese,,Southern,Bar,,0.1,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Reposado,Clase Azul,0.3,Southern,Bar,,0.2,No,,,,,,,,,,,,,,,,,,,
Bitters,Mole Bitters,Bittermans,3.5,Breakthru,Back Bar,Tue,3,No,$13.09,,$2.62,,,,,,,,,,,,,,,,
